sh;site;zone1;zone2;site_name1;site_name2;latitude;longitude;sst_lat;sst_lon;tidestation;albedo;height;slope;aspect;slope.avg;aspect.avg;layer;c.albedo;beddepth;cntct;emiss
Lc;LaCaridad;low_shade;_LowShade;LaCaridad_low_shade;LaCaridad_LowShade;43,5654;-6,8281;43,65;-6,8281;Ribadeo, Spain;0,4;0,5;-3;25;-3;25;;;;;
Sv;SVBarquera;high_sun;_TopSun;SVBarquera_high_sun;SVBarquera_TopSun;43,3936;-4,4403;43,5;-4,4403;San Vicente de la Barquera, Spain;0,4;2,5;13;143;13;143;;;;;
Sv;SVBarquera;high_shade;_TopShade;SVBarquera_high_shade;SVBarquera_TopShade;43,3936;-4,4403;43,5;-4,4403;San Vicente de la Barquera, Spain;0,4;2,5;-10;332;-10;332;;;;;
Sv;SVBarquera;mid_sun;_MidSun;SVBarquera_mid_sun;SVBarquera_MidSun;43,3936;-4,4403;43,5;-4,4403;San Vicente de la Barquera, Spain;0,4;1,5;18;188;18;188;;;;;
Sv;SVBarquera;mid_shade;_MidShade;SVBarquera_mid_shade;SVBarquera_MidShade;43,3936;-4,4403;43,5;-4,4403;San Vicente de la Barquera, Spain;0,4;1,5;3;355;3;355;;;;;
Sv;SVBarquera;low_sun;_LowSun;SVBarquera_low_sun;SVBarquera_LowSun;43,3936;-4,4403;43,5;-4,4403;San Vicente de la Barquera, Spain;0,4;0,5;15;185;15;185;;;;;
Sv;SVBarquera;low_shade;_LowShade;SVBarquera_low_shade;SVBarquera_LowShade;43,3936;-4,4403;43,5;-4,4403;San Vicente de la Barquera, Spain;0,4;0,5;10;344;10;344;;;;;
Bi;Biarritz;high_sun;_TopSun;Biarritz_high_sun;Biarritz_TopSun;43,4844;-1,5632;43,4844;-1,65;St. Jean de Luz (Socoa), France;0,4;2,5;18;160;18;160;;;;;
Bi;Biarritz;high_shade;_TopShade;Biarritz_high_shade;Biarritz_TopShade;43,4844;-1,5632;43,4844;-1,65;St. Jean de Luz (Socoa), France;0,4;2,5;2;27;2;27;;;;;
Bi;Biarritz;mid_sun;_MidSun;Biarritz_mid_sun;Biarritz_MidSun;43,4844;-1,5632;43,4844;-1,65;St. Jean de Luz (Socoa), France;0,4;1,5;30;155;30;155;;;;;
Bi;Biarritz;mid_shade;_MidShade;Biarritz_mid_shade;Biarritz_MidShade;43,4844;-1,5632;43,4844;-1,65;St. Jean de Luz (Socoa), France;0,4;1,5;-15;5;-15;5;;;;;
